Security_Name,Yahoo_Ticker
AIA ENGINEERING LIMITED EQ NEW RE.2/- EQ NEW RE.2/-,AIA.NS
CIE AUTOMOTIVE INDIA LIMITED EQ EQ,CIE.NS
DIVI'S LABORATORIES LIMITED EQ NEW RS. 2/-,DIVIS.NS
EXPLEO SOLUTIONS LIMITED EQ,EXPLEO.NS
FINOLEX CABLES LIMITED NEW EQ RS. 2/-,FINOLEX.NS
GARWARE TECHNICAL FIBRES LIMITED EQ EQ,GARWARE.NS
GUJARAT FLUOROCHEMICALS LIMITED EQ EQ,GUJARAT.NS
HEUBACH COLORANTS INDIA LIMITED EQ F V RS 10/-,HEUBACH.NS
HIMATSINGKA SEIDE LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,HIMATSINGKA.NS
ICICI PRUDENTIAL MUTUAL FUND BSE LIQUID ETF IDCW BSE LIQUID ETF IDCW,ICICI.NS
INDEGENE LIMITED EQ EQ,INDEGENE.NS
MAHINDRA AND MAHINDRA LIMITED EQ NEW F.V. RS.5 EQ NEW F.V. RS.5,MAHINDRA.NS
MORGANITE CRUCIBLE (INDIA) LIMITED EQ NEW FV RS.5/-,MORGANITE.NS
RATTANINDIA ENTERPRISES LIMITED EQ,RATTANINDIA.NS
REI AGRO LIMITED EQ NEW FV RS.1/-,REI.NS
S H KELKAR AND COMPANY LIMITED EQ NEW FV RS. 10/-,S.NS
SURYA PHARMACEUTICAL LIMITED EQ NEW F.V. RE.1/-,SURYA.NS
3I INFOTECH LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,3I.NS
3I INFOTECH LIMITED REs - EQ RS. 10/- REs - EQ RS. 10/-,3I.NS
BAJAJ CONSUMER CARE LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,BAJAJ.NS
BANDHAN BANK LIMITED EQ EQ,BANDHAN.NS
CANARA ROBECO ASSET MANAGEMENT CO. LTD. EQ EQ,CANARA.NS
FEDBANK FINANCIAL SERVICES LIMITED EQ EQ,FEDBANK.NS
GUJARAT ALKALIES AND CHEMICALS LIMITED EQ EQ,GUJARAT.NS
GUJARAT PIPAVAV PORT LIMITED EQ,GUJARAT.NS
ICICI PRUDENTIAL MUTUAL FUND BHARAT 22 ETF,ICICI.NS
NAVKAR CORPORATION LIMITED EQ EQ,NAVKAR.NS
NORTHERN ARC CAPITAL LIMITED EQ EQ,NORTHERN.NS
PUNJAB AND SIND BANK EQ,PUNJAB.NS
SANCIA GLOBAL INFRAPROJECTS LIMITED EQ,SANCIA.NS
SURYACHAKRA POWER CORPORATION LIMITED EQ,SURYACHAKRA.NS
SYNCOM FORMULATIONS (INDIA) LIMITED EQ NEW Re. 1/- EQ NEW Re. 1/-,SYNCOMPANYM.NS
UJJIVAN SMALL FINANCE BANK LIMITED EQ EQ,UJJIVAN.NS
AFCONS INFRASTRUCTURE LIMITED EQ EQ,AFCOMPANYNS.NS
COMMEX TECHNOLOGY LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,COMPANYMMEX.NS
INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,INTERNATIONAL.NS
NOVARTIS INDIA LIMITED EQ FV RS.5 EQ FV RS.5,NOVARTIS.NS
UTI-MASTERSHARE UNIT SCHEME,UTIMASTERSHARE.NS
BAJAJ HINDUSTHAN SUGAR LIMITED EQ FV RE. 1/-,BAJAJ.NS
EASUN REYROLLE LIMITED EQ NEW RS. 2/-,EASUN.NS
EMPIRE INDUSTRIES LIMITED EQ,EMPIRE.NS
GE VERNOVA T&D INDIA LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,GE.NS
GODAWARI POWER AND ISPAT LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GODAWARI.NS
HELIOS & MATHESAN INFORMATION TECHNOLOGY LTD EQ,HELIOS.NS
IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED EQ,ILFS.NS
INDIA CEMENTS LIMITED EQ,INDIA.NS
MEGHMANI ORGANICS LIMITED EQ NEW Re.1/-,MEGHMANI.NS
VIJAY TEXTILES LIMITED EQ NEW FV RS. 10/-,VIJAY.NS
VISU INTERNATIONAL LIMITED EQ,VISU.NS
BANK OF INDIA EQ EQ,BANK.NS
CANARA BANK EQ NEW FV RS 2/- EQ NEW FV RS 2/-,CANARA.NS
COCHIN SHIPYARD LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,COMPANYCHIN.NS
GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED EQ,GARDEN.NS
GODREJ INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GODREJ.NS
HDFC MUTUAL FUND DEFENCE  FUND REGULAR PLAN  GROWTH,HDFC.NS
HDFC MUTUAL FUND MANUFACTURING FD-REGULAR PL-GRWTH MANUFACTURING FD-REGULAR PL-GRWTH,HDFC.NS
HDFC MUTUAL FUND TECHNOLOGY FD -RG PL-GR,HDFC.NS
INDIAN OVERSEAS BANK EQ EQ,INDIAN.NS
MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,MAHINDRA.NS
MISHRA DHATU NIGAM LIMITED EQ,MISHRA.NS
NIIT LEARNING SYSTEMS LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,NIIT.NS
NIIT LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,NIIT.NS
SONA BLW PRECISION FORGINGS LIMITED EQ EQ,SONA.NS
