Security Name,Ticker
PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED EQ NEW FV Rs.5/- EQ NEW FV Rs.5/-,PARAS.NS
RALLIS INDIA LIMITED EQ NEW Re. 1/- EQ NEW Re. 1/-,RALLIS.NS
REDINGTON LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,REDINGTON.NS
RITES LIMITED EQ EQ,RITES.NS
SJVN LIMITED EQ EQ,SJVN.NS
THE TATA POWER COMPANY LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,TATAPOWER.NS
UPL LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,UPL.NS
ALLCARGO GATI LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,ALLCARGO.NS
BIRLA CABLE LIMITED EQ,BIRLACABLE.NS
DCM SHRIRAM INDUSTRIES LIMITED EQ NEW FV RS. 2/-,DCM.NS
DYNAMIC INDUSTRIES LIMITED EQ,DYNAMIC.NS
GARWARE HI-TECH FILMS LIMITED EQ,GRWRHITECH.NS
MAHINDRA EPC IRRIGATION LIMITED EQ EQ,MAHEPC.NS
TCI DEVELOPERS LIMITED EQ,TCI.NS
TCI EXPRESS LIMITED EQ EQ,TCI.NS
THE INDIAN CARD CLOTHING COMPANY LIMITED EQ EQ,INDIANCARD.NS
INDRAPRASTHA GAS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,IGL.NS
PUNJAB NATIONAL BANK EQ NEW FV RS. 2/-,PNB.NS
HINDUSTAN UNILEVER LIMITED EQ F.V. RS 1,HINDUNILVR.NS
OSWAL AGRO MILLS LIMITED EQ,OSWALAGRO.NS
CHENNAI PETROLEUM CORPORATION LIMITED EQ EQ,CHENNPETRO.NS
GLAXOSMITHKLINE PHARMACEUTICALS LIMITED EQ EQ,GLAXO.NS
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED EQ EQ,GNFC.NS
KIRLOSKAR ELECTRIC COMPANY LIMITED EQ,KECL.NS
PRIMO CHEMICALS LIMITED EQ NEW FV RS. 2/-,PRIMO.BO
ADANI ENTERPRISES LIMITED EQ NEW FV RE.1/-,ADANIENT.NS
ANAND RATHI SHARE AND STOCK BROKERS LIMITED ANAND RATHI SHA ANAND RATHI SHA,ANANDRATHI.NS
ARVIND FASHIONS LIMITED (FORMERLY ARVIND J&M LIMITED) EQ NEW FV RS. 4/- EQ NEW FV RS. 4/-,ARVIND.NS
ARVIND LIMITED EQ EQ,ARVIND.NS
BSE LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,BSE.NS
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED EQ EQ,HUDCO.NS
INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED EQ EQ,IREDA.NS
INDOSTAR CAPITAL FINANCE LIMITED EQ EQ,INDOSTAR.NS
INOX INDIA LIMITED EQ NEW FV RS.2/-,INOXINDIA.NS
LAURUS LABS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,LAURUSLABS.NS
LG ELECTRONICS INDIA LIMITED EQ EQ,EMIL.NS
MAHANAGAR GAS LIMITED EQ,MGL.NS
RBL BANK LIMITED EQ EQ,RBL.BO
S CHAND AND COMPANY LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,SCHAND.NS
SHALBY LIMITED EQ,SHALBY.NS
