Security_Name,NSE_Symbol
REDINGTON LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,REDINGTON
RITES LIMITED EQ EQ,RITES
SHRIRAM FINANCE LIMITED EQ NEW FV RE.2/- EQ NEW FV RE.2/-,SHRIRAMFIN
SJVN LIMITED EQ EQ,SJVN
THE TATA POWER COMPANY LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,TATAPOWER
UPL LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,UPL
ZEN TECHNOLOGIES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,ZENTEC
ALLCARGO GATI LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,ACLGATI
BIRLA CABLE LIMITED EQ,BIRLACABLE
BODAL CHEMICALS LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-,BODALCHEM
CAPLIN POINT LABORATORIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,CAPLIPOINT
DCM SHRIRAM INDUSTRIES LIMITED EQ NEW FV RS. 2/-,DCMSHRIRAM
GARWARE HI-TECH FILMS LIMITED EQ,GRWRHITECH
JYOTHY LABS LIMITED EQ NEW RE. 1/- EQ NEW RE. 1/-,JYOTHYLAB
MAHINDRA EPC IRRIGATION LIMITED EQ EQ,MAHEPC
NALWA SONS INVESTMENTS LIMITED EQ FV RS.10/-,NSIL
SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,KAUSHALYA
TCI EXPRESS LIMITED EQ EQ,TCIEXP
TEAM INDIA GUARANTY LIMITED EQ NEW EQ NEW,TEAMGTY
THE INDIAN CARD CLOTHING COMPANY LIMITED EQ EQ,INDIANCARD
TRANSPORT CORPORATION OF INDIA LIMITED NEW EQ RS. 2/- NEW EQ RS. 2/-,TCI
GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED EQ NEW FV RS.2/-,GSFC
INDRAPRASTHA GAS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,IGL
IOL CHEMICALS AND PHARMACEUTICALS LIMITED EQ NEW FV Rs.2/- EQ NEW FV Rs.2/-,IOLCP
LANCO INFRATECH LIMITED EQ NEW RE. 1/- EQ NEW RE. 1/-,PNCINFRA
PUNJAB NATIONAL BANK EQ NEW FV RS. 2/-,PNB
THE GREAT EASTERN SHIPPING COMPANY LIMITED EQ NEW FV RS.10/-,GESHIP
HINDUSTAN UNILEVER LIMITED EQ F.V. RS 1,HINDUNILVR
KHAITAN CHEMICALS AND FERTILIZERS LIMITED EQ NEW FV Re. 1/- EQ NEW FV Re. 1/-,KHAICHEM
OSWAL AGRO MILLS LIMITED EQ,OSWALAGRO
APTECH LIMITED EQ EQ,APTECHT
CHENNAI PETROLEUM CORPORATION LIMITED EQ EQ,CHENNPETRO
GLAXOSMITHKLINE PHARMACEUTICALS LIMITED EQ EQ,GLAXO
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED EQ EQ,GNFC
J. K. CEMENT LIMITED. EQ EQ,JKCEMENT
KIRLOSKAR ELECTRIC COMPANY LIMITED EQ,KECL
PRIMO CHEMICALS LIMITED EQ NEW FV RS. 2/-,PRIMO
